entry_id,entry_title,type,hazard,priority,suggested_tier
AS-TRIL-0030,DAPA-HF (2019) — SGLT2 inhibitor in heart failure without diabetes,trial,moderate,P3,1
AS-TRIL-0011,DART (2010) — ART monitoring without routine labs,trial,moderate,P3,1
AS-TRIL-0028,DCCT (1993) — Intensive insulin in type 1 diabetes,trial,moderate,P3,1
AS-TRIL-0029,EMPA-REG OUTCOME (2015) — SGLT2 inhibitor cardiovascular outcomes,trial,moderate,P3,1
AS-CALC-0010,FENa — Prerenal or ATN?,calculator,moderate,P3,1
AS-TRIL-0048,GOLD / TORCH (2007) — Inhaled therapy in COPD,trial,moderate,P3,1
AS-SCOR-0005,HAS-BLED — Bleeding Risk,score,moderate,P3,1
AS-TRIL-0042,HOPE (2000) — ACE inhibition for vascular protection,trial,moderate,P3,1
AS-TRIL-0033,ISIS-2 (1988) — Aspirin and streptokinase in myocardial infarction,trial,moderate,P3,1
AS-CALC-0003,Ideal and Adjusted Body Weight,calculator,moderate,P3,1
AS-TRIL-0014,KEN SHE (2022) — Single-dose HPV vaccine,trial,moderate,P3,1
AS-TRIL-0008,MORDOR (2018) — Mass azithromycin and child mortality,trial,moderate,P3,1
AS-TRIL-0035,MR CLEAN (2015) — Mechanical thrombectomy in stroke,trial,moderate,P3,1
AS-TRIL-0037,Magpie (2002) — Magnesium sulfate for pre-eclampsia,trial,moderate,P3,1
AS-CALC-0012,Mean Arterial Pressure (MAP),calculator,moderate,P3,1
AS-TRIL-0040,NICE-SUGAR (2009) — Tight glucose control in ICU,trial,moderate,P3,1
AS-TRIL-0034,NINDS tPA (1995) — Thrombolysis in acute ischaemic stroke,trial,moderate,P3,1
AS-TRIL-0010,PALM (2019) — Ebola monoclonal antibodies,trial,moderate,P3,1
AS-TRIL-0031,PARADIGM-HF (2014) — ARNI versus ACE inhibitor,trial,moderate,P3,1
AS-TRIL-0017,R21/Matrix-M (2023) — Malaria vaccine,trial,moderate,P3,1
AS-TRIL-0032,RALES (1999) — Spironolactone in heart failure,trial,moderate,P3,1
AS-TRIL-0009,REACH (2019) — Hydroxyurea for sickle cell in Africa,trial,moderate,P3,1
AS-TRIL-0006,REALITY (2017) — Advanced HIV in Africa,trial,moderate,P3,1
AS-TRIL-0023,RECOVERY dexamethasone (2020) — Steroids in severe COVID-19,trial,moderate,P3,1
AS-TRIL-0025,Rivers EGDT (2001) — Early goal-directed therapy in sepsis,trial,moderate,P3,1
AS-TRIL-0039,SAFE (2004) — Albumin versus saline for resuscitation,trial,moderate,P3,1
AS-TRIL-0013,SHINE (2022) — 4-month TB treatment in children,trial,moderate,P3,1
AS-TRIL-0026,SPRINT (2015) — Intensive blood pressure lowering,trial,moderate,P3,1
AS-TRIL-0041,STICH / hypothermia TTM (2013) — Targeted temperature after cardiac arrest,trial,moderate,P3,1
AS-TRIL-0047,STOP-NIDDM / DPP (2002) — Preventing type 2 diabetes,trial,moderate,P3,1
AS-TRIL-0045,Surviving Sepsis / PROWESS (2001) — Activated protein C in sepsis,trial,moderate,P3,1
AS-TRIL-0018,TEMPRANO (2015) — Early ART and isoniazid prophylaxis,trial,moderate,P3,1
AS-TRIL-0007,TRACT (2019) — Transfusion in African children with severe anaemia,trial,moderate,P3,1
AS-TRIL-0036,TRICC (1999) — Restrictive transfusion threshold,trial,moderate,P3,1
AS-TRIL-0038,Term Breech Trial (2000) — Planned caesarean for breech,trial,moderate,P3,1
AS-NAMK-0014,Triads and Tetrads,named_knowledge,moderate,P3,1
AS-TRIL-0027,UKPDS (1998) — Glycaemic and BP control in type 2 diabetes,trial,moderate,P3,1
AS-TRIL-0022,WOMAN (2017) — Tranexamic acid for postpartum bleeding,trial,moderate,P3,1
AS-SCOR-0003,Wells Score — DVT,score,moderate,P3,1
AS-TRIL-0046,Women's Health Initiative (2002) — Hormone therapy in postmenopausal women,trial,moderate,P3,1
AS-TRIL-0015,iKMC (2021) — Immediate kangaroo mother care,trial,moderate,P3,1
AS-CALC-0001,Body Mass Index (BMI),calculator,low,P4,1
AS-NAMK-0006,Calculator and Scoring Index,named_knowledge,low,P4,1
AS-NAMK-0010,Drug and Brand Index,named_knowledge,low,P4,1
AS-NAMK-0011,Electrolyte and Channel Index,named_knowledge,low,P4,1
AS-NAMK-0004,Examination Index,named_knowledge,low,P4,1
AS-NAMK-0007,Guideline and Management-Principles Index,named_knowledge,low,P4,1
AS-NAMK-0012,Hormone Index,named_knowledge,low,P4,1
AS-NAMK-0008,"Instrument, Equipment and Colour-Code Index",named_knowledge,low,P4,1
AS-NAMK-0005,Investigation and Test Index,named_knowledge,low,P4,1
AS-NAMK-0013,Monitoring Index,named_knowledge,low,P4,1
AS-NAMK-0009,Oncology Index,named_knowledge,low,P4,1
AS-NAMK-0003,Shock Index (Navigational),named_knowledge,low,P4,1
AS-NAMK-0002,Syndrome Index,named_knowledge,low,P4,1
AS-TRIL-0049,Trials Index — Landmark Studies by Topic,trial,low,P4,1
